Japanese,English
の,of
に,To
する,Make
は,It is
を,The
が,But
と,When
年,Year
で,so
だ,I
月,Month
も,Also
から,From
日,Day
成る,Become
こと,thing
有る,Have
よる,According
や,Ya
など,Such
言う,To tell
日本,Japan
為,Because
この,this
人,Man
その,That
まで,Until
もの,thing
へ,What
又,or
これ,this
行う,Do
よう,Yo
出来る,Be able to
駅,station
国,Country
より,Than
大学,University
現在,the current
後,rear
か,Or
線,line
ぬ,Unexpected
放送,broadcast
号,issue
軍,army
無い,No
部,Part
持つ,To have
所,Place
名,Name
回,Times
世界,world
時,Time
戦,War
時代,Era
東京,Tokyo
おく,deep
でも,But
呼ぶ,Call
その後,afterwards
会,Meeting
それ,It
機,Machine
会う,meet
受ける,receive
多い,Many
選手,player
場合,Case
対する,Against
しかし,However
つく,Get
昭和,Showa
作品,the work
地,Earth
中,During ~
使用,use
共に,both
学校,school
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,Company
川,river
映画,movies
位,Place
見る,to see
テレビ,TV set
系,system
研究,the study
町,town
東,east
存在,Existence
活動,Activity
発売,Sale
