Japanese,English
0,の,of
1,に,To
2,する,Make
3,は,It is
4,を,The
5,が,But
6,と,When
7,年,Year
8,で,so
9,だ,I
10,月,Month
11,も,Also
12,から,From
13,日,Day
14,成る,Become
15,こと,thing
16,有る,Have
17,よる,According
18,や,Ya
19,など,Such
20,言う,To tell
21,日本,Japan
22,為,Because
23,この,this
24,人,Man
25,その,That
26,まで,Until
27,もの,thing
28,へ,What
29,又,or
30,これ,this
31,行う,Do
32,よう,Yo
33,出来る,Be able to
34,駅,station
35,国,Country
36,より,Than
37,大学,University
38,現在,the current
39,後,rear
40,か,Or
41,線,line
42,ぬ,Unexpected
43,放送,broadcast
44,号,issue
45,軍,army
46,無い,No
47,部,Part
48,持つ,To have
49,所,Place
50,名,Name
51,回,Times
52,世界,world
53,時,Time
54,戦,War
55,時代,Era
56,東京,Tokyo
57,おく,deep
58,でも,But
59,呼ぶ,Call
60,その後,afterwards
61,会,Meeting
62,それ,It
63,機,Machine
64,会う,meet
65,受ける,receive
66,多い,Many
67,選手,player
68,場合,Case
69,対する,Against
70,しかし,However
71,つく,Get
72,昭和,Showa
73,作品,the work
74,地,Earth
75,中,During ~
76,使用,use
77,共に,both
78,学校,school
79,語,word
80,彼,he
81,行く,go
82,アメリカ,America
83,当時,at that time
84,番組,program
85,車,car
86,社,Company
87,川,river
88,映画,movies
89,位,Place
90,見る,to see
91,テレビ,TV set
92,系,system
93,研究,the study
94,町,town
95,東,east
96,存在,Existence
97,活動,Activity
98,発売,Sale
99,他,other
100,出身,Graduate
101,年代,Age
102,会社,the company
103,権,Authority
104,開発,development of
105,分,Minute
106,西,West
107,鉄道,Railway
108,法,Act
109,局,Bureau
110,更に,Furthermore
111,のみ,only
112,間,while
113,山,Mountain
114,式,formula
115,島,island
116,なお,It should be noted
117,可能,Possible
118,ドイツ,Germany
119,代表,representative
120,使う,use
121,同じ,the same
122,曲,Tune
123,地域,area
124,作,Work
125,事,Thing
126,版,Edition
127,取る,take
128,登場,Appearance
129,チーム,team
130,世,world
131,時間,time
132,於ける,on
133,中心,center
134,大会,Tournament
135,多く,Many
136,南,South
137,シリーズ,series
138,賞,award
139,北,North
140,開始,start
141,フランス,France
142,一部,part
143,始める,start
144,平成,Heisei
145,知る,know
146,子,Child
147,ゲーム,game
148,道,the way
149,角,The corner
150,用いる,Use
151,および,and
152,館,Mansion
153,場,Place
154,体,body
155,世紀,century
156,音楽,musics
157,参加,Participation
158,発表,Announcement
159,記録,Record
160,掛ける,Multiply
161,高い,high
162,利用,Use
163,際,When
164,出場,Participation
165,国際,international
166,リーグ,league
167,所属,Belongs
168,務める,serve
169,関係,Relation
170,考える,Think
171,イギリス,England
172,生まれる,to be born
173,入る,enter
174,度,Every time
175,州,state
176,全て,all
177,明治,Meiji
178,生,Living
179,点,point
180,力,Power
181,良い,good
182,だけ,Only
183,王,king
184,試合,match
185,得る,obtain
186,優勝,Championship
187,都市,city
188,含む,Include
189,アルバム,album
190,込む,Writing
191,問題,problem
192,シーズン,Season
193,開催,Held
194,大阪,Osaka
195,位置,position
196,監督,directed by
197,上,Up
198,主,main
199,設置,Installation
200,郡,county
201,戦争,war
202,物,Stuff
203,艦,The ship
